Date,Open,High,Low,Close,Volume,Change %
02/13/2023,"1,655.00","1,661.75","1,644.55","1,658.35",2.87M,0.08%
02-10-2023,"1,648.80","1,658.50","1,642.20","1,657.10",4.09M,0.40%
02-09-2023,"1,660.00","1,661.65","1,635.55","1,650.55",5.89M,-0.21%
02-08-2023,"1,654.25","1,668.20","1,650.00","1,654.00",4.22M,-0.01%
02-07-2023,"1,659.40","1,664.90","1,632.60","1,654.20",5.13M,0.15%
02-06-2023,"1,660.00","1,669.40","1,646.20","1,651.75",5.58M,-0.43%
02-03-2023,"1,611.00","1,660.50","1,607.00","1,658.80",7.21M,3.46%
02-02-2023,"1,608.10","1,624.50","1,588.75","1,603.35",8.75M,-1.49%
02-01-2023,"1,624.00","1,665.00","1,606.00","1,627.55",8.65M,1.50%
01/31/2023,"1,619.70","1,622.70","1,595.00","1,603.50",9.30M,-0.66%
01/30/2023,"1,595.00","1,625.30","1,582.00","1,614.15",9.26M,-0.10%
01/27/2023,"1,632.00","1,637.00","1,589.95","1,615.80",17.59M,-1.99%
01/25/2023,"1,691.40","1,692.95","1,645.30","1,648.65",7.35M,-2.76%
01/24/2023,"1,675.05","1,702.40","1,675.00","1,695.50",12.49M,1.34%
01/23/2023,"1,666.25","1,682.60","1,661.40","1,673.10",7.72M,0.73%
01/20/2023,"1,644.10","1,669.00","1,643.40","1,660.95",9.42M,1.02%
01/19/2023,"1,637.00","1,650.00","1,633.00","1,644.10",5.59M,0.42%
01/18/2023,"1,605.00","1,641.60","1,599.70","1,637.30",9.55M,1.77%
01/17/2023,"1,589.80","1,611.00","1,577.50","1,608.90",5.39M,1.49%
01/16/2023,"1,615.00","1,621.30","1,580.30","1,585.30",7.37M,-0.96%
01/13/2023,"1,598.75","1,609.90","1,586.00","1,600.65",4.62M,0.08%
01-12-2023,"1,587.80","1,603.90","1,584.15","1,599.40",4.63M,0.53%
01-11-2023,"1,567.95","1,598.00","1,560.00","1,590.90",7.60M,1.44%
01-10-2023,"1,600.00","1,600.00","1,565.00","1,568.30",8.19M,-1.83%
01-09-2023,"1,596.00","1,611.55","1,590.00","1,597.50",5.36M,0.19%
01-06-2023,"1,602.00","1,609.10","1,578.20","1,594.40",4.55M,-0.33%
01-05-2023,"1,615.00","1,618.05","1,589.40","1,599.70",5.47M,-0.64%
01-04-2023,"1,635.00","1,645.75","1,607.00","1,610.05",5.18M,-1.79%
01-03-2023,"1,622.20","1,643.00","1,622.20","1,639.35",4.19M,0.65%
01-02-2023,"1,627.00","1,639.75","1,618.55","1,628.70",2.19M,0.03%
12/30/2022,"1,645.00","1,645.00","1,620.00","1,628.15",3.56M,-0.80%
12/29/2022,"1,620.10","1,643.50","1,611.00","1,641.30",5.51M,0.71%
12/28/2022,"1,623.10","1,633.00","1,623.10","1,629.80",4.35M,-0.08%
12/27/2022,"1,633.00","1,635.95","1,613.50","1,631.10",3.96M,0.10%
12/26/2022,"1,599.50","1,639.00","1,590.00","1,629.45",4.95M,1.99%
12/23/2022,"1,587.00","1,604.15","1,585.45","1,597.65",5.35M,-0.89%
12/22/2022,"1,622.20","1,627.50","1,609.00","1,612.05",4.87M,-0.34%
12/21/2022,"1,641.00","1,644.80","1,606.55","1,617.60",4.63M,-0.97%
12/20/2022,"1,620.20","1,636.40","1,620.20","1,633.40",3.59M,-0.69%
12/19/2022,"1,644.00","1,646.65","1,626.20","1,644.75",4.80M,0.31%
12/16/2022,"1,620.05","1,645.10","1,609.00","1,639.65",7.32M,0.48%
12/15/2022,"1,657.05","1,669.40","1,627.05","1,631.80",9.09M,-1.83%
12/14/2022,"1,653.00","1,665.50","1,650.00","1,662.25",7.11M,0.85%
12/13/2022,"1,650.00","1,657.00","1,645.00","1,648.30",8.52M,0.28%
12-12-2022,"1,625.00","1,653.60","1,621.40","1,643.75",7.22M,0.78%
12-09-2022,"1,626.00","1,634.85","1,620.00","1,631.05",5.98M,0.71%
12-08-2022,"1,610.00","1,626.00","1,605.00","1,619.50",7.40M,0.56%
12-07-2022,"1,614.15","1,618.60","1,604.45","1,610.45",5.84M,-0.04%
12-06-2022,"1,601.00","1,613.70","1,600.00","1,611.15",6.18M,-0.11%
12-05-2022,"1,609.95","1,614.60","1,596.20","1,612.95",5.80M,0.36%
12-02-2022,"1,610.00","1,618.60","1,605.15","1,607.10",3.91M,-0.77%
12-01-2022,"1,622.00","1,637.00","1,615.00","1,619.50",10.22M,0.69%
11/30/2022,"1,597.10","1,612.90","1,597.10","1,608.45",7.59M,0.66%
11/29/2022,"1,597.25","1,612.35","1,592.85","1,597.85",6.32M,-0.15%
11/28/2022,"1,602.90","1,607.45","1,594.05","1,600.25",8.05M,-1.08%
11/25/2022,"1,629.70","1,631.70","1,614.10","1,617.65",4.21M,-0.46%
11/24/2022,"1,605.95","1,632.00","1,599.15","1,625.15",8.60M,1.63%
11/23/2022,"1,605.00","1,605.00","1,594.00","1,599.15",5.09M,0.26%
11/22/2022,"1,600.00","1,604.35","1,591.00","1,595.00",4.27M,-0.15%
11/21/2022,"1,607.65","1,612.00","1,590.20","1,597.35",4.17M,-1.03%
11/18/2022,"1,621.00","1,623.00","1,605.25","1,613.90",5.23M,-0.26%
11/17/2022,"1,618.10","1,631.55","1,613.90","1,618.15",6.05M,-0.90%
11/16/2022,"1,618.65","1,642.00","1,612.00","1,632.90",6.79M,0.86%
11/15/2022,"1,623.15","1,623.15","1,605.25","1,619.00",5.52M,0.24%
11/14/2022,"1,612.00","1,628.00","1,598.00","1,615.05",9.60M,0.24%
11-11-2022,"1,545.00","1,637.00","1,538.00","1,611.15",28.36M,5.67%
11-10-2022,"1,497.10","1,527.00","1,495.05","1,524.75",6.39M,1.09%
11-09-2022,"1,515.05","1,517.95","1,504.00","1,508.35",4.63M,-0.03%
11-07-2022,"1,510.00","1,512.00","1,492.10","1,508.80",4.92M,0.78%
11-04-2022,"1,503.20","1,516.10","1,489.60","1,497.15",5.41M,-0.69%
11-03-2022,"1,497.70","1,520.25","1,497.00","1,507.55",5.17M,-0.44%
11-02-2022,"1,517.00","1,528.25","1,511.60","1,514.20",6.36M,0.06%
11-01-2022,"1,503.50","1,529.00","1,498.90","1,513.25",9.54M,1.11%
10/31/2022,"1,472.00","1,498.00","1,467.25","1,496.70",6.42M,2.61%
10/28/2022,"1,450.00","1,467.00","1,447.40","1,458.70",5.24M,0.30%
10/27/2022,"1,464.50","1,467.35","1,451.25","1,454.40",7.97M,0.24%
10/25/2022,"1,461.10","1,467.80","1,445.00","1,450.90",6.89M,-0.69%
10/24/2022,"1,454.30","1,463.00","1,454.30","1,461.05",1.08M,1.56%
10/21/2022,"1,452.00","1,457.65","1,434.00","1,438.60",5.25M,-0.70%
10/20/2022,"1,444.00","1,452.90","1,442.50","1,448.80",3.95M,-0.68%
10/19/2022,"1,464.00","1,477.40","1,453.40","1,458.65",6.48M,1.03%
10/18/2022,"1,458.05","1,462.90","1,440.00","1,443.85",5.28M,-0.19%
10/17/2022,"1,435.00","1,457.60","1,427.00","1,446.55",9.21M,0.52%
10/14/2022,"1,417.00","1,447.00","1,415.25","1,439.00",6.42M,3.26%
10/13/2022,"1,402.05","1,406.25","1,384.00","1,393.60",7.36M,-1.15%
10-12-2022,"1,403.20","1,414.85","1,397.30","1,409.80",4.61M,0.65%
10-11-2022,"1,401.10","1,417.00","1,399.45","1,400.65",7.26M,-1.01%
10-10-2022,"1,408.00","1,426.00","1,398.20","1,415.00",6.55M,-1.10%
10-07-2022,"1,430.25","1,434.95","1,420.35","1,430.80",6.65M,-0.43%
10-06-2022,"1,459.95","1,462.60","1,434.20","1,437.00",6.27M,-1.10%
10-04-2022,"1,429.50","1,458.00","1,426.15","1,453.00",5.77M,2.82%
10-03-2022,"1,409.95","1,417.85","1,401.10","1,413.20",5.77M,-0.57%
09/30/2022,"1,378.80","1,431.45","1,365.00","1,421.35",7.89M,2.82%
09/29/2022,"1,396.30","1,402.20","1,378.80","1,382.35",7.21M,-0.52%
09/28/2022,"1,406.00","1,410.60","1,385.90","1,389.55",5.91M,-1.72%
09/27/2022,"1,432.40","1,440.00","1,407.00","1,413.85",6.32M,-0.90%
09/26/2022,"1,425.35","1,436.45","1,418.00","1,426.65",4.46M,-1.35%
09/23/2022,"1,472.35","1,475.00","1,437.00","1,446.15",7.90M,-2.68%
09/22/2022,"1,502.00","1,510.15","1,482.75","1,486.00",6.02M,-2.13%
09/21/2022,"1,508.00","1,521.50","1,505.00","1,518.35",4.54M,-0.15%
09/20/2022,"1,514.00","1,524.00","1,509.90","1,520.70",5.39M,1.20%
09/19/2022,"1,489.00","1,514.00","1,480.00","1,502.60",6.04M,0.66%
09/16/2022,"1,503.10","1,514.70","1,483.00","1,492.75",10.28M,-1.84%
09/15/2022,"1,530.00","1,540.95","1,512.00","1,520.70",6.77M,-0.52%
09/14/2022,"1,494.05","1,538.90","1,492.35","1,528.65",10.11M,1.03%
09/13/2022,"1,498.90","1,515.90","1,498.55","1,513.10",6.50M,1.31%
09-12-2022,"1,500.00","1,504.00","1,490.00","1,493.55",5.54M,-0.34%
09-09-2022,"1,496.20","1,509.00","1,494.05","1,498.60",7.56M,0.07%
09-08-2022,"1,490.10","1,500.00","1,482.15","1,497.60",5.58M,1.03%
09-07-2022,"1,471.30","1,490.00","1,471.30","1,482.30",4.89M,-0.47%
09-06-2022,"1,498.90","1,506.65","1,486.45","1,489.35",6.12M,-0.38%
09-05-2022,"1,486.10","1,499.00","1,484.10","1,495.05",6.07M,0.64%
09-02-2022,"1,472.15","1,490.50","1,465.20","1,485.50",6.02M,0.91%
09-01-2022,"1,464.75","1,489.45","1,459.00","1,472.15",11.20M,-0.94%
08/30/2022,"1,446.45","1,489.95","1,443.10","1,486.10",5.07M,3.24%
08/29/2022,"1,437.00","1,446.00","1,428.60","1,439.40",4.33M,-1.75%
08/26/2022,"1,472.05","1,481.80","1,461.20","1,465.10",3.85M,0.02%
08/25/2022,"1,479.90","1,486.80","1,457.00","1,464.85",5.91M,-0.54%
08/24/2022,"1,461.90","1,475.50","1,459.20","1,472.85",6.73M,0.48%
08/23/2022,"1,453.30","1,475.95","1,450.40","1,465.80",7.48M,-0.31%
08/22/2022,"1,484.80","1,488.35","1,467.70","1,470.35",4.12M,-1.52%
08/19/2022,"1,510.00","1,512.00","1,490.00","1,493.05",4.03M,-1.23%
08/18/2022,"1,500.00","1,513.90","1,499.65","1,511.70",4.17M,0.12%
08/17/2022,"1,500.00","1,512.75","1,485.75","1,509.90",6.19M,0.52%
08/16/2022,"1,494.80","1,508.50","1,488.05","1,502.15",6.28M,1.14%
08-12-2022,"1,485.00","1,489.30","1,475.95","1,485.15",4.43M,-0.04%
08-11-2022,"1,486.50","1,491.00","1,474.55","1,485.70",9.15M,1.32%
08-10-2022,"1,461.35","1,471.50","1,449.05","1,466.30",8.68M,0.29%
08-08-2022,"1,428.00","1,464.50","1,427.10","1,462.05",7.68M,2.45%
08-05-2022,"1,433.00","1,436.95","1,421.15","1,427.05",4.63M,-0.34%
08-04-2022,"1,440.00","1,446.70","1,412.95","1,431.90",6.01M,-0.12%
08-03-2022,"1,424.95","1,435.75","1,417.00","1,433.60",5.49M,0.23%
08-02-2022,"1,442.00","1,444.60","1,423.05","1,430.25",7.52M,-1.10%
08-01-2022,"1,439.00","1,448.45","1,430.05","1,446.15",6.60M,0.83%
07/29/2022,"1,438.00","1,438.60","1,415.30","1,434.20",10.01M,1.22%
07/28/2022,"1,415.05","1,424.00","1,411.00","1,416.85",8.71M,0.89%
07/27/2022,"1,388.90","1,406.00","1,384.25","1,404.40",4.61M,0.76%
07/26/2022,"1,396.00","1,402.00","1,386.30","1,393.75",4.26M,-0.20%
07/25/2022,"1,395.00","1,404.60","1,383.30","1,396.60",5.07M,0.29%
07/22/2022,"1,366.00","1,397.00","1,362.40","1,392.50",6.36M,2.33%
07/21/2022,"1,360.55","1,369.50","1,358.10","1,360.75",6.32M,-0.32%
07/20/2022,"1,359.90","1,371.10","1,355.25","1,365.05",10.17M,1.26%
07/19/2022,"1,337.00","1,358.55","1,337.00","1,348.05",7.90M,0.04%
07/18/2022,"1,348.00","1,366.10","1,342.05","1,347.55",10.17M,-1.06%
07/15/2022,"1,353.00","1,364.90","1,346.80","1,362.05",6.80M,0.81%
07/14/2022,"1,362.00","1,372.65","1,349.25","1,351.05",5.19M,-0.50%
07/13/2022,"1,390.00","1,394.20","1,354.25","1,357.85",7.97M,-2.44%
07-12-2022,"1,405.25","1,405.25","1,389.40","1,391.80",4.94M,-1.02%
07-11-2022,"1,394.00","1,409.90","1,393.25","1,406.15",3.73M,0.65%
07-08-2022,"1,410.00","1,410.00","1,394.75","1,397.10",6.24M,0.09%
07-07-2022,"1,380.00","1,398.00","1,374.45","1,395.80",8.87M,1.79%
07-06-2022,"1,348.00","1,373.40","1,347.10","1,371.25",7.52M,1.38%
07-05-2022,"1,364.00","1,379.35","1,348.30","1,352.60",7.16M,-0.22%
07-04-2022,"1,353.70","1,360.20","1,342.25","1,355.65",4.24M,0.14%
07-01-2022,"1,343.95","1,360.00","1,330.05","1,353.75",5.74M,0.43%
06/30/2022,"1,336.00","1,354.00","1,336.00","1,348.00",6.24M,0.30%
06/29/2022,"1,331.25","1,350.75","1,331.25","1,343.95",5.00M,-0.14%
06/28/2022,"1,344.00","1,351.00","1,338.40","1,345.90",4.89M,-0.76%
06/27/2022,"1,370.00","1,376.00","1,352.00","1,356.25",4.90M,0.18%
06/24/2022,"1,338.55","1,361.65","1,338.55","1,353.80",4.01M,1.40%
06/23/2022,"1,330.50","1,348.00","1,318.50","1,335.15",7.69M,0.37%
06/22/2022,"1,332.25","1,336.95","1,323.20","1,330.25",4.08M,-0.47%
06/21/2022,"1,336.90","1,354.00","1,324.05","1,336.55",6.61M,1.09%
06/20/2022,"1,304.70","1,325.00","1,294.15","1,322.15",7.97M,2.51%
06/17/2022,"1,275.00","1,299.00","1,271.60","1,289.75",7.36M,0.66%
06/16/2022,"1,310.00","1,320.55","1,278.00","1,281.30",6.08M,-2.00%
06/15/2022,"1,301.65","1,315.80","1,298.40","1,307.45",5.91M,-0.35%
06/14/2022,"1,311.25","1,326.00","1,305.00","1,312.00",5.94M,-1.10%
06/13/2022,"1,323.60","1,330.00","1,308.30","1,326.60",5.45M,-1.81%
06-10-2022,"1,360.10","1,367.95","1,343.60","1,351.10",4.58M,-1.93%
06-09-2022,"1,362.25","1,382.05","1,357.15","1,377.70",3.66M,0.75%
06-08-2022,"1,373.30","1,381.00","1,357.00","1,367.40",2.99M,0.35%
06-07-2022,"1,362.00","1,374.30","1,354.10","1,362.60",5.13M,-1.15%
06-06-2022,"1,376.30","1,387.00","1,360.65","1,378.45",3.09M,-0.13%
06-03-2022,"1,398.30","1,400.75","1,376.30","1,380.30",3.48M,-0.35%
06-02-2022,"1,387.25","1,388.00","1,378.60","1,385.10",5.74M,-0.70%
06-01-2022,"1,380.00","1,400.45","1,379.15","1,394.85",6.05M,0.42%
05/31/2022,"1,395.90","1,404.80","1,380.00","1,388.95",6.74M,-0.90%
05/30/2022,"1,410.25","1,420.50","1,398.45","1,401.55",6.31M,0.68%
05/27/2022,"1,371.80","1,394.70","1,370.75","1,392.05",12.02M,1.85%
05/26/2022,"1,342.15","1,371.00","1,340.00","1,366.70",13.50M,2.85%
05/25/2022,"1,330.00","1,335.95","1,323.20","1,328.80",6.44M,0.75%
05/24/2022,"1,300.00","1,325.00","1,296.90","1,318.95",6.44M,1.15%
05/23/2022,"1,314.00","1,329.95","1,299.10","1,304.00",9.74M,-1.28%
05/20/2022,"1,303.00","1,324.20","1,292.35","1,320.95",6.96M,2.63%
05/19/2022,"1,286.20","1,296.40","1,278.30","1,287.05",10.27M,-2.04%
05/18/2022,"1,324.05","1,333.30","1,310.00","1,313.90",7.87M,-0.01%
05/17/2022,"1,312.60","1,317.00","1,298.20","1,314.00",8.32M,0.68%
05/16/2022,"1,299.00","1,312.00","1,285.30","1,305.10",4.90M,1.06%
05/13/2022,"1,310.05","1,318.00","1,287.00","1,291.35",8.38M,-0.90%
05-12-2022,"1,321.10","1,326.80","1,293.00","1,303.05",11.19M,-3.38%
05-11-2022,"1,353.00","1,355.00","1,328.65","1,348.60",8.55M,0.56%
05-10-2022,"1,315.05","1,353.00","1,315.05","1,341.05",10.06M,1.61%
05-09-2022,"1,300.00","1,326.50","1,295.50","1,319.85",16.38M,0.17%
05-06-2022,"1,330.00","1,335.00","1,313.00","1,317.60",13.37M,-2.61%
05-05-2022,"1,375.00","1,375.00","1,346.50","1,352.95",8.93M,-0.22%
05-04-2022,"1,400.00","1,403.60","1,350.00","1,356.00",14.53M,-3.40%
05-02-2022,"1,362.05","1,406.45","1,362.05","1,403.70",9.75M,1.38%
04/29/2022,"1,380.35","1,404.75","1,371.55","1,384.60",14.20M,0.97%
04/28/2022,"1,372.00","1,379.00","1,362.10","1,371.35",10.39M,-0.09%
04/27/2022,"1,360.00","1,379.00","1,356.10","1,372.55",9.03M,0.04%
04/26/2022,"1,372.00","1,381.95","1,357.15","1,372.05",8.51M,0.46%
04/25/2022,"1,350.00","1,370.65","1,322.25","1,365.75",10.47M,0.75%
04/22/2022,"1,360.00","1,375.35","1,349.15","1,355.60",10.33M,-1.36%
